question,document
What is retrieval-augmented generation trying to fix with language models?,01-agentic-rag/lessons/01-intro.md
Why does this lesson treat an LLM like a black box instead of explaining how it works inside?,01-agentic-rag/lessons/01-intro.md
What are the main limits of LLMs that make RAG useful?,01-agentic-rag/lessons/01-intro.md
What will the course build in this module to make RAG concrete?,01-agentic-rag/lessons/01-intro.md
How is Part 2 different from Part 1 in this RAG module?,01-agentic-rag/lessons/01-intro.md
"What do I need installed before starting this module, and do I need anything besides Python and Jupyter?",01-agentic-rag/lessons/02-environment.md
How do I create the project from scratch with uv and which libraries should I add first?,01-agentic-rag/lessons/02-environment.md
"What’s the recommended way to keep my OpenAI key safe in this setup, and what should I put in .gitignore?",01-agentic-rag/lessons/02-environment.md
How do I start Jupyter for this course and verify that the OpenAI client is working?,01-agentic-rag/lessons/02-environment.md
"If I want to use Groq instead of OpenAI, what changes do I make to the API key setup and client code?",01-agentic-rag/lessons/02-environment.md
Why doesn’t a plain LLM answer course-specific student questions well without extra help?,01-agentic-rag/lessons/03-rag.md
How does adding FAQ text into the prompt make the chatbot answer more accurately?,01-agentic-rag/lessons/03-rag.md
"What does RAG mean in this lesson, and how do retrieval and generation work together?",01-agentic-rag/lessons/03-rag.md
What are the three main parts of the RAG setup described here?,01-agentic-rag/lessons/03-rag.md
Why is search quality so important in a RAG system?,01-agentic-rag/lessons/03-rag.md
"Where does the FAQ data come from, and how do you download it in Python?",01-agentic-rag/lessons/04-dataset.md
What information does each FAQ record include besides the actual question and answer?,01-agentic-rag/lessons/04-dataset.md
Why does the lesson say the course slug is useful when searching the FAQ data?,01-agentic-rag/lessons/04-dataset.md
How is this FAQ dataset used inside a RAG pipeline?,01-agentic-rag/lessons/04-dataset.md
"If the data is already in JSON, why does the lesson still say data prep can be the hardest part in real RAG projects?",01-agentic-rag/lessons/04-dataset.md
Why would a keyword-based search miss two questions that mean the same thing but use different wording?,01-agentic-rag/lessons/05-search.md
What does minsearch do with text fields versus keyword fields when you build the index?,01-agentic-rag/lessons/05-search.md
Why does the lesson say you should filter search results by course instead of searching everything at once?,01-agentic-rag/lessons/05-search.md
How does boosting change the importance of fields like question and section in search ranking?,01-agentic-rag/lessons/05-search.md
How can you turn the search setup into a reusable function that defaults to the LLM Zoomcamp course?,01-agentic-rag/lessons/05-search.md
Why do we need to include the search results in the prompt before sending it to the model?,01-agentic-rag/lessons/06-building-prompt.md
What’s the difference between the fixed instructions and the part that changes for each user question?,01-agentic-rag/lessons/06-building-prompt.md
How should the instructions tell the model to answer when the needed info isn’t in the context?,01-agentic-rag/lessons/06-building-prompt.md
What does the context-building step do with each retrieved document before putting it into the prompt?,01-agentic-rag/lessons/06-building-prompt.md
Why does the lesson say a well-made prompt helps keep the answer tied to the source material instead of making things up?,01-agentic-rag/lessons/06-building-prompt.md
"How do you send a prompt to the model in this RAG setup, and which OpenAI method do you use?",01-agentic-rag/lessons/07-llm.md
What’s the easiest way to get the actual text answer out of the model response object?,01-agentic-rag/lessons/07-llm.md
"How do you work out the request cost from the token counts, and why is it usually so cheap?",01-agentic-rag/lessons/07-llm.md
Why does the lesson use a message list with separate roles instead of just passing one string?,01-agentic-rag/lessons/07-llm.md
"How are search, prompt building, and the LLM connected in the final RAG function?",01-agentic-rag/lessons/07-llm.md
Why does the lesson suggest moving the RAG code into separate files instead of keeping it in notebooks?,01-agentic-rag/lessons/08-rag-helper.md
"What does the data-loading file do, and what are the two functions it should contain?",01-agentic-rag/lessons/08-rag-helper.md
"Why is the RAG logic wrapped in a class, and what do you pass into it when you create one?",01-agentic-rag/lessons/08-rag-helper.md
"How does the helper class search the FAQ data, and what filters or boosts does it apply?",01-agentic-rag/lessons/08-rag-helper.md
"How can you change the assistant’s behavior, like its instructions or model, when using the helper in a notebook?",01-agentic-rag/lessons/08-rag-helper.md
Why does loading and indexing data at startup stop working well once the dataset gets big?,01-agentic-rag/lessons/09-data-ingestion.md
What is the point of separating ingestion from querying in a RAG setup?,01-agentic-rag/lessons/09-data-ingestion.md
Why use sqlitesearch instead of minsearch for this lesson’s example?,01-agentic-rag/lessons/09-data-ingestion.md
How do the ingestion and query notebooks work together with the same SQLite database file?,01-agentic-rag/lessons/09-data-ingestion.md
"When should I stick with minsearch, and when should I switch to a persistent search backend?",01-agentic-rag/lessons/09-data-ingestion.md
What should I improve first after building a basic RAG system?,01-agentic-rag/lessons/10-rag-next-steps.md
How is an agent different from the simple search-then-answer pipeline in this module?,01-agentic-rag/lessons/10-rag-next-steps.md
Why would vector search help compared with keyword search for FAQ questions?,01-agentic-rag/lessons/10-rag-next-steps.md
"When does Elasticsearch make sense for a RAG app, and what can it do?",01-agentic-rag/lessons/10-rag-next-steps.md
Why do people usually choose RAG over fine-tuning for keeping an LLM up to date?,01-agentic-rag/lessons/10-rag-next-steps.md
Why does a simple RAG flow break down when the user asks something in a weird way or with a typo?,01-agentic-rag/lessons/11-agents-intro.md
What does it mean to make the LLM drive the search instead of sending the query straight to the retriever?,01-agentic-rag/lessons/11-agents-intro.md
How can an LLM help when the first search gives no useful result?,01-agentic-rag/lessons/11-agents-intro.md
"What is an agent in this context, and how is it different from a fixed pipeline?",01-agentic-rag/lessons/11-agents-intro.md
What topics are covered later in this part of the module after the agent idea is introduced?,01-agentic-rag/lessons/11-agents-intro.md
What parts of the earlier RAG setup do you need to reuse before moving on to agents?,01-agentic-rag/lessons/12-rag-revision.md
How does the FAQ-based RAG flow answer student questions in this course?,01-agentic-rag/lessons/12-rag-revision.md
What do the helper files `rag_helper.py` and `ingest.py` do in the RAG pipeline?,01-agentic-rag/lessons/12-rag-revision.md
"Why does the assistant fail when someone types ""Olama"" instead of ""Ollama""?",01-agentic-rag/lessons/12-rag-revision.md
What is the main weakness of this fixed RAG pipeline that makes an agent necessary?,01-agentic-rag/lessons/12-rag-revision.md
"Why does the simple RAG flow fail when the user misspells Ollama, and how does letting the model choose actions fix that?",01-agentic-rag/lessons/13-function-calling.md
"What is function calling in this lesson, and why is it the thing that makes agent-style RAG possible?",01-agentic-rag/lessons/13-function-calling.md
"How do you define the search tool for the model, and which parts of the tool schema matter most?",01-agentic-rag/lessons/13-function-calling.md
"What does the model return when you send a question with a tool attached, and what do you do with the function call arguments?",01-agentic-rag/lessons/13-function-calling.md
"Why do you need to send the whole conversation back to the model after the search result comes in, and how does that affect cost?",01-agentic-rag/lessons/13-function-calling.md
Why do we need a loop for tool use instead of just handling one function call at a time?,01-agentic-rag/lessons/14-agentic-loop.md
"What are the main pieces of an agent in this lesson, and what does each one do?",01-agentic-rag/lessons/14-agentic-loop.md
How does the helper function turn a model’s function call into the format the API expects?,01-agentic-rag/lessons/14-agentic-loop.md
How does the code know when to stop looping and give the final answer?,01-agentic-rag/lessons/14-agentic-loop.md
How can the instructions be changed so the assistant searches more than once or refuses off-topic questions?,01-agentic-rag/lessons/14-agentic-loop.md
How does ToyAIKit reduce the repeated code you need when building a new agent loop?,01-agentic-rag/lessons/15-frameworks.md
"Can ToyAIKit figure out a tool schema from a function’s type hint and docstring, and how do you register it?",01-agentic-rag/lessons/15-frameworks.md
"What do the chat interface, callback, and runner each do when you use ToyAIKit for an agent?",01-agentic-rag/lessons/15-frameworks.md
"What does the runner return after a prompt, and how can you inspect the conversation history and token cost?",01-agentic-rag/lessons/15-frameworks.md
"How do you continue the same chat in ToyAIKit across multiple prompts, or switch to an interactive back-and-forth session?",01-agentic-rag/lessons/15-frameworks.md
How are agent loops and function calling supposed to work across different LLM frameworks?,01-agentic-rag/lessons/16-other-frameworks.md
Which OpenAI framework is suggested if I already use OpenAI and want an official option?,01-agentic-rag/lessons/16-other-frameworks.md
"What makes PydanticAI a good pick, and how do you switch models or providers in it?",01-agentic-rag/lessons/16-other-frameworks.md
When would LangChain or LangGraph be a better choice than the others?,01-agentic-rag/lessons/16-other-frameworks.md
Why does the lesson say I should avoid using an agent unless I really need one?,01-agentic-rag/lessons/16-other-frameworks.md
Why does keyword search fail on questions that mean the same thing but use different wording?,02-vector-search/lessons/01-intro.md
"What are the two stages of vector search, and what happens in each one?",02-vector-search/lessons/01-intro.md
What role does an embedding model play in vector search?,02-vector-search/lessons/01-intro.md
How does cosine similarity tell you whether two text vectors are related?,02-vector-search/lessons/01-intro.md
"When should I use vector search instead of plain text search, and what tools does this module use to build it?",02-vector-search/lessons/01-intro.md
"What does it mean to embed text, and why do we need embeddings before doing vector search?",02-vector-search/lessons/02-embeddings.md
"How are word embeddings different from sentence embeddings, and why does context change the vector?",02-vector-search/lessons/02-embeddings.md
"Which embedding library and model does the lesson use, and why is that model a good fit here?",02-vector-search/lessons/02-embeddings.md
"How do you compare a user question with a document using embeddings, and what does a higher score mean?",02-vector-search/lessons/02-embeddings.md
"Why is dot product the same as cosine similarity for this model, and what do the similarity values 1, 0, and -1 mean?",02-vector-search/lessons/02-embeddings.md
How do you load the FAQ data for this embedding step?,02-vector-search/lessons/03-embeddings-dataset.md
Why does the lesson combine each question with its answer before creating embeddings?,02-vector-search/lessons/03-embeddings-dataset.md
Why are the texts encoded in batches instead of all at once?,02-vector-search/lessons/03-embeddings-dataset.md
What does the `tqdm` loop do when generating the vectors?,02-vector-search/lessons/03-embeddings-dataset.md
"What shape do you get after turning the embeddings into a NumPy array, and what do the two dimensions mean?",02-vector-search/lessons/03-embeddings-dataset.md
How does a vector search system score each document against a user query?,02-vector-search/lessons/04-vector-search.md
Why is using a matrix dot product faster than looping through documents one by one?,02-vector-search/lessons/04-vector-search.md
How do you get the single best matching document from all the similarity scores?,02-vector-search/lessons/04-vector-search.md
What is the simplest way to grab the top 5 matches instead of just the top one?,02-vector-search/lessons/04-vector-search.md
Why do we send several top documents to the LLM instead of only the highest-scoring result?,02-vector-search/lessons/04-vector-search.md
How do you use minsearch for vector search instead of writing the numpy ranking code yourself?,02-vector-search/lessons/05-minsearch-vector.md
"What do you need to give VectorSearch when you build the index, and why include the course field?",02-vector-search/lessons/05-minsearch-vector.md
"How does searching work in minsearch’s vector search class, and what does it do under the hood?",02-vector-search/lessons/05-minsearch-vector.md
"Can minsearch limit vector search results to one course only, like llm-zoomcamp?",02-vector-search/lessons/05-minsearch-vector.md
What kind of result should you expect if you search for whether someone can join the course late?,02-vector-search/lessons/05-minsearch-vector.md
How do you change a RAG pipeline from keyword lookup to vector lookup without rewriting the whole thing?,02-vector-search/lessons/06-rag-vector.md
Why does the vector-search version need to turn the question into an embedding before searching?,02-vector-search/lessons/06-rag-vector.md
What does the `RAGVector` class add or override compared with `RAGBase`?,02-vector-search/lessons/06-rag-vector.md
Which parts of the RAG flow stay the same when you switch from text search to vector search?,02-vector-search/lessons/06-rag-vector.md
Why is vector search said to work better than keyword search for questions that are phrased differently?,02-vector-search/lessons/06-rag-vector.md
What are the main drawbacks of the earlier vector search approach in this lesson?,02-vector-search/lessons/07-sqlitesearch-vector.md
How is approximate nearest-neighbor search different from exact search in practice?,02-vector-search/lessons/07-sqlitesearch-vector.md
"What does sqlitesearch store the vectors in, and why does that matter for reusing the index later?",02-vector-search/lessons/07-sqlitesearch-vector.md
