question,document
"I just found this course late — can I still enroll, or did I miss the start?",74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?",74eb249bbf
What do I need to do to make sure I can still get the certificate if I’m joining late?,74eb249bbf
"Is it okay to start the course now, even if it’s already underway?",74eb249bbf
"Can I submit the final project later and still receive a certificate, or does it have to be while submissions are open?",74eb249bbf
"I just registered for LLM Zoomcamp, do I need to wait for a confirmation email before I can start?",977bf7786c
"If I signed up for the course, is there supposed to be an acceptance email or some kind of approval message?",977bf7786c
"Do I need to be on a registered list to begin the homework, or can I start right away?",977bf7786c
What’s the point of registration if I’m allowed to learn and submit homework without it?,977bf7786c
"Is registration mandatory for LLM Zoomcamp, or is it just for showing interest before the course starts?",977bf7786c
How do I join the Office Hours or workshop stream if I’m a student and don’t have the Zoom link?,489dd1c9d9
Where can I find the live video link for office hours before the session starts?,489dd1c9d9
"If I’m watching the live workshop, should I send questions in chat or use something else?",489dd1c9d9
"Do students get access to the Zoom room for live sessions, or is it only for instructors and TAs?",489dd1c9d9
What’s the best way to follow the live office hours and ask questions without missing them?,489dd1c9d9
Where should I begin if I want to take this course and not miss anything important?,04919992b3
"What’s the usual weekly routine for watching lessons, doing notebooks, and turning in homework?",04919992b3
"Can I join the course at any time, or do I need to start on a fixed date?",04919992b3
"Where do I find the videos, code, and homework instructions for each week?",04919992b3
How does the homework compare to the lesson materials — is it the same tasks or something a bit different?,04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
Why does the leaderboard show some random nickname instead of my actual name?,c2903069a0
Where can I check what display name I’m currently using in the course profile?,c2903069a0
"Can I change the name that appears publicly, and what name will be shown on my certificate?",c2903069a0
What’s the difference between the nickname field and the official name field in Edit Course Profile?,c2903069a0
"Can I take the course at my own pace and still get a certificate, or is that only for the live cohort?",69d122f12e
"If I do the self-paced version, do I miss out on the certificate completely?",69d122f12e
Why doesn’t the course give certificates for self-paced students?,69d122f12e
Is peer-review of the capstone/project required in order to get the certificate?,69d122f12e
"After the course ends, can I still do the peer reviews and qualify for a certificate?",69d122f12e
"If I skip the first homework, can I still qualify for the course certificate?",9f689c185f
"Do I need to complete every homework assignment to get the certificate, or is the capstone enough?",9f689c185f
"Is homework required for certification in the course, or just the Capstone project?",9f689c185f
What do I have to pass in order to receive the certificate if I missed one homework?,9f689c185f
"Are homework points mandatory for the certificate, or do they only affect the leaderboard ranking?",9f689c185f
Why does the homework keep changing if I already started it?,96286b4be4
What does [DRAFT] mean in the homework title?,96286b4be4
How can I tell if a homework assignment is actually ready?,96286b4be4
Is it safe to work on the homework before the form opens?,96286b4be4
Can the final homework version be different from the draft?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course session starts?,bd31146b0e
Is there already a date for the next offering of the course?,bd31146b0e
When should I expect the course to run again?,bd31146b0e
What’s the next scheduled term for this course?,bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
What’s the main place I should open first to get to the lesson videos?,31456f4b5f
"Are the lesson videos inside the GitHub repo, and where exactly are they linked?",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course videos?,31456f4b5f
How do I get to the videos for each lesson in LLM Zoomcamp?,31456f4b5f
Where should I go to see the current LLM Zoomcamp syllabus and course structure?,20c5a1347e
How can I check homework deadlines and track my progress in LLM Zoomcamp?,20c5a1347e
Is there a central platform for all LLM Zoomcamp course updates and assignments?,20c5a1347e
What site do I use to follow the cohort schedule and homework for this Zoomcamp?,20c5a1347e
Does LLM Zoomcamp have a management page like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions or office hours for every module in the course, or are the lessons only pre-recorded?",d65e05bd7a
Where can I ask for help if I’m stuck on a module and there isn’t a live class?,d65e05bd7a
"How are live sessions announced in this course, and do they happen regularly?",d65e05bd7a
Is there any extra support with Zoom office hours if I want something more structured than Slack?,d65e05bd7a
Are the module materials available somewhere in the course repo even without live teaching?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Are Bluesky posts accepted as learning in public credit evidence?,dbf5369006
"If I share my progress on Bluesky, does that qualify for learning in public credits?",dbf5369006
Do Bluesky updates work for earning learning in public credits?,dbf5369006
Is posting on Bluesky enough to get learning in public credits?,dbf5369006
What’s the Telegram channel link for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram channel for the LLM Zoomcamp course?,054f3fd58f
What do I use the LLM Zoomcamp Telegram channel for?,054f3fd58f
"If I have technical questions, should I ask in Telegram or Slack?",054f3fd58f
Why is my FAQ dataset record count different from what’s shown in the videos?,e2d595f23c
"Did the FAQ data change after the course recordings, or am I doing something wrong?",e2d595f23c
Why do I get a different number of FAQ entries than the ones in the lesson?,e2d595f23c
"Is the FAQ dataset updated over time, and can that explain the mismatch I see?",e2d595f23c
The video shows one count of records but I get another one now — what’s causing that?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The due date is over, but the submission page hasn’t closed yet — does that mean I can still submit?",a9353fadfe
"If the homework form is still accepting responses after the deadline, is it okay to upload my answers now?",a9353fadfe
What happens if I missed the deadline but the course submission form is still open?,a9353fadfe
"Is the homework submission only blocked after the form closes, or does the deadline itself stop it?",a9353fadfe
Can I still turn in homework after the deadline has passed if the submission form is open?,cdc3b285e5
Do you ever grant individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it affect my certificate?,cdc3b285e5
Are late homework submissions accepted once the form is already closed?,cdc3b285e5
"If I skip some homework, will I still show up on the leaderboard and be able to get the certificate?",cdc3b285e5
Is the name I enter for the certificate ever visible on the public leaderboard or to other people online?,651ba06b34
What name shows up publicly in the course leaderboard if I set a different certificate name?,651ba06b34
Can I keep my real name only on the certificate and use a nickname everywhere else?,651ba06b34
Where do I change the leaderboard display name versus the certificate name in my course profile?,651ba06b34
"Does the certificate name get shared with third parties, or is it only printed on the certificate?",651ba06b34
Why don't we use LangChain in this course instead of building everything from scratch?,b7cdde6b25
"What's the reason for learning prompting, retrieval, indexing, and evaluation before using a framework like LangChain?",b7cdde6b25
"Is LangChain bad for RAG projects, or is there another reason it's skipped here?",b7cdde6b25
Why does the course make us implement the core parts ourselves before using tools like React or Angular for LLM apps?,b7cdde6b25
"Would it be better to start with LangChain, or is it important to understand the basics first?",b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does the error ""OpenAI API Error: Insufficient credits"" usually mean in the `responses.create` command?",f5df151c59
I tried `responses.create` and it failed with an OpenAI credits error — how can I fix this?,f5df151c59
Is there a reason the OpenAI `responses.create` call would break because of account credits?,f5df151c59
What should I check if `responses.create` throws an insufficient credits error in OpenAI?,f5df151c59
"Why am I getting RateLimitError 429 from OpenAI when I run my RAG code, and how do I fix it?",152af39a53
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53
